급선회, 회급
급수탑, 탑급
급수표, 표급
급완, 완급
급전점, 점급
급제점, 점장급
급족, 족탈불급
급촉, 촉급
급취편, 편급
급편, 편장막급
급행, 행성급
급획, 획급
긴긴, 긴막긴
긴막긴, 긴긴
긴소리표, 표르긴
김광섭, 섭새김
김낙, 낙지튀김
김냉, 냉이튀김
김농, 농어튀김
김덕명, 명태튀김
김말이튀김, 김밥튀김
김밥튀김, 김말이튀김
김상훈, 훈김
김석견, 견이김
김소운, 운김
김수흥, 흥김
김장청, 청계벗김
김창흡, 흡착비김
깃물통, 통깃
깡내쌀, 쌀깡
깡짜, 짜깡짜깡
꽁꽁, 꽁꽁꽁
꽁꽁꽁, 꽁꽁
꽁짜, 짜꽁짜꽁
꾸꾸, 꾸꾸꾸
꾸꾸꾸, 꾸꾸
꾸린짐, 짐짓꾸
꾸부슴, 슴바꾸
꾸짝, 짝꾸
낙지백숙, 숙낙
낙지튀김, 김낙
냉이튀김, 김냉
널갯박죽, 죽널
널벽, 벽널
녹청, 청녹
농과창, 창업농
농근, 근농
농락, 락농
농어튀김, 김농
농축, 축농
농춘화답, 답농
농혈, 혈농
농협, 협농
농홍, 홍농
는곱, 곱어른
답결, 결답
답교, 교답
답구희, 희답
답농, 농춘화답
답답증, 증답
답사각, 각답
답숙, 숙답
답응, 응답
답조회, 회답
답척, 척답
답청, 청답
답통, 통답
덕교, 교통도덕
덕둔, 둔덕
덕땅형, 형덕
덕맹현, 현덕
덕명, 명덕
덕산읍, 읍덕
덕양구청, 청덕
덕월, 월강공덕
덕위병행, 행덕
덕육, 육덕
덕윤, 윤리덕
덕장형양식, 식구덕
덕적, 적공누덕
덕적덕적, 적덕
덕천창, 창구덕
덕학, 학덕
덕혜, 혜덕
덕흥, 흥구덕
덕흥창, 창덕
둑순, 순장바둑
둔갑, 갑둔
둔덕, 덕둔
둔완, 완둔
둔육, 육둔
둬둬, 둬둬둬
둬둬둬, 둬둬
득결, 결득
득량면, 면부득
득명, 명불허득
득승지회, 회득
득실점, 점득
득점순, 순리득
득효, 효득
득희, 희번득
딱쿵, 쿵닥딱
딱쿵딱쿵, 쿵닥딱쿵닥딱
또각, 각또
뚱짜, 짜부뚱
락각, 각락
락교, 교락
락농, 농락
락다운, 운우락
락랑단궁, 궁글락궁글락
락맥, 맥락
락성식, 식도락
락식, 식지가락
락월, 월락
락적, 적락
락점, 점드락
락제점, 점락
락죽, 죽숟가락
락착, 착락
락척, 척락
락천적, 적멸위락
락출, 출가취락
락탁, 탁락
락탐, 탐락
락향, 향락
랭소적, 적랭
랭촉, 촉랭
록각, 각관단록
록각교, 교록
록갱, 갱장록
록록무명, 명륜록
록명, 명사록
록색점, 점도록
록색혁명, 명상록
록소셀레스증, 증수무원록
록음전축, 축록
록청, 청금록
록편, 편년통록
롤녹시캄, 캄페스테롤
륙각형, 형륙
륙교, 교륙
륜월, 월륜
륜증, 증전법륜
륜회시운, 운륜
륭흥, 흥륭
맥관학, 학맥
맥도널산맥, 맥맥
맥락, 락맥
맥락관통, 통맥
맥락적, 적유산맥
맥맥, 맥도널산맥
맥아근, 근맥
맥탁, 탁맥
맹관총창, 창맹
맹궤, 궤맹
맹꽁이맹, 맹맹
맹맹, 맹꽁이맹
맹목적, 적색맹
맹무식, 식맹
맹월, 월맹
맹자단청, 청맹
맹청, 청색맹
맹통, 통맹
맹회, 회맹
맹훈, 훈맹
멩멩, 멩멩멩멩
멩멩멩멩, 멩멩
면각, 각남면
면갑, 갑천면
면견, 견고지면
면결, 결성면
면겸, 겸면
면교, 교동면
면궁, 궁류면
면규, 규면
면급, 급경사면
면대양증, 증도면
면려회, 회냉면
면마근, 근남면
면면, 면천면
면목가증, 증면
면목표, 표면
면무식, 식면
면민회, 회면
면방위목표, 표선면
면방적, 적도면
면벽, 벽개면
면부득, 득량면
면붕, 붕산면
면비교육, 육수면
면세결, 결절간면
면세점, 점곡면
면수구결, 결정면
면숙, 숙면
면실립방살창, 창면
면앙, 앙면
면역증, 증산면
면역학, 학교면
면역학적, 적량면
면열배증, 증평면
면와, 와룡면
면유차견, 견면
면유폐, 폐곡면
면융, 융기하면
면인정쟁, 쟁반자장면
면적, 적면
면접, 접곡면
면접착, 착면
면죄, 죄면
면창, 창수면
면책, 책면
면책적, 적상면
면척, 척하면
면천면, 면면
면청, 청계면
면축, 축동면
면출, 출면
면탁, 탁장면
면폐, 폐석면
면학, 학산면
면행, 행면
면화근, 근덕면
면화창, 창평면
면화활, 활공면
면회, 회인면
멸시적, 적멸
멸족, 족멸
